Job Title,Years of Experience,Department,Salary Range,Work Location,Training Hours,Satisfaction Score,Last Evaluation Score,Average Monthly Hours,Attrition
Manager,12,Sales,Low,Remote,20,6,5,191,0
Executive,12,Sales,High,Office,74,1,5,268,0
Consultant,27,Engineering,Medium,Remote,94,5,10,299,1
Manager,8,Marketing,Medium,Remote,48,6,1,298,0
Executive,23,Customer Support,High,Remote,64,1,8,263,0
Manager,14,Customer Support,Low,Remote,40,10,5,173,0
Consultant,3,Marketing,Low,Office,95,10,4,266,1
Consultant,12,Marketing,Medium,Office,66,4,1,210,0
Director,26,Engineering,Medium,Office,95,9,9,225,1
Assistant,11,Engineering,Medium,Remote,41,9,0,193,0
Manager,4,Customer Support,Low,Remote,68,0,6,208,0
Manager,6,Marketing,Medium,Office,56,2,3,203,0
Executive,7,Marketing,Medium,Office,42,0,10,268,0
Consultant,4,Customer Support,Low,Remote,100,2,6,140,0
Manager,8,Customer Support,Medium,Office,11,3,4,104,0
Consultant,13,Customer Support,Medium,Remote,77,4,0,105,0
Manager,25,Customer Support,High,Remote,63,3,4,161,0
Director,11,Customer Support,Medium,Remote,50,3,3,115,0
Assistant,3,Engineering,High,Remote,72,8,0,187,0
Manager,19,Customer Support,Medium,Remote,59,8,9,209,0
Consultant,28,Marketing,Medium,Remote,70,8,1,246,0
Director,7,Sales,High,Remote,79,10,8,182,0
Manager,16,Engineering,Medium,Remote,27,4,0,222,0
Executive,7,Marketing,High,Office,70,10,9,264,1
Assistant,20,Sales,Medium,Office,13,4,3,163,0
Manager,28,Engineering,High,Office,31,1,7,286,0
Director,29,Customer Support,High,Office,7,5,4,196,0
Executive,26,Engineering,Medium,Remote,26,1,9,168,0
Director,0,Customer Support,Medium,Office,49,9,6,300,0
Director,19,Customer Support,High,Office,58,4,10,234,0
Executive,1,Customer Support,Low,Remote,56,10,1,141,0
Director,3,Sales,Medium,Office,2,4,3,252,0
Executive,23,Engineering,Medium,Office,26,3,3,155,0
Manager,20,Customer Support,Low,Office,93,4,0,274,1
Executive,0,Marketing,Low,Office,33,6,7,184,0
Executive,6,Engineering,High,Remote,25,9,10,207,0
Assistant,0,Marketing,Medium,Office,100,1,2,277,0
Executive,8,Sales,High,Office,39,0,3,184,0
Executive,2,Sales,Medium,Office,85,3,1,190,0
Manager,11,Engineering,Low,Office,31,6,9,132,0
Assistant,18,Sales,High,Remote,40,0,4,125,0
Consultant,14,Sales,Medium,Remote,1,3,4,116,0
Manager,30,Engineering,Medium,Office,71,5,2,120,0
Manager,21,Marketing,Low,Remote,6,5,7,101,0
Consultant,15,Customer Support,Low,Remote,18,0,0,178,0
Executive,9,Engineering,Medium,Remote,32,6,1,143,0
Director,21,Engineering,Low,Remote,1,4,0,293,0
Assistant,28,Customer Support,Low,Office,66,5,5,170,0
Director,26,Marketing,High,Remote,91,0,3,135,0
Consultant,26,Customer Support,Medium,Office,77,6,9,145,0
Manager,5,Customer Support,High,Office,14,3,0,277,0
Manager,28,Marketing,Low,Office,20,2,6,166,0
Assistant,16,Marketing,Medium,Office,77,10,8,102,0
Manager,20,Customer Support,Low,Office,58,3,4,218,0
Manager,27,Customer Support,Low,Office,81,8,6,260,1
Assistant,21,Engineering,Medium,Office,38,4,3,144,0
Assistant,23,Marketing,Low,Office,19,4,3,124,0
Consultant,28,Sales,High,Office,0,7,3,264,0
Manager,16,Marketing,Medium,Office,72,6,4,263,0
Manager,20,Customer Support,Low,Remote,8,2,7,134,0
Consultant,18,Customer Support,Low,Remote,50,0,3,118,0
Executive,17,Customer Support,Low,Remote,37,10,6,144,0
Executive,10,Customer Support,Medium,Office,92,1,8,211,0
Executive,23,Sales,High,Office,14,2,5,245,0
Consultant,6,Marketing,Low,Office,83,10,3,254,0
Manager,9,Sales,Low,Office,40,0,4,193,0
Consultant,6,Sales,Low,Office,93,0,7,130,0
Consultant,4,Customer Support,Medium,Remote,46,7,3,266,0
Executive,11,Sales,Low,Remote,25,7,3,166,0
Director,15,Customer Support,Low,Office,53,1,6,249,0
Manager,28,Customer Support,Low,Office,69,7,5,279,1
Executive,24,Customer Support,Medium,Remote,38,10,0,109,0
Director,20,Sales,High,Remote,16,1,8,216,0
Director,17,Customer Support,Medium,Remote,69,10,4,107,0
Assistant,2,Sales,High,Office,91,4,9,133,0
Manager,19,Marketing,High,Office,8,0,10,280,0
Director,14,Customer Support,Medium,Office,90,8,1,245,0
Executive,4,Engineering,Low,Office,98,3,4,111,0
Assistant,12,Engineering,High,Remote,45,9,7,291,1
Manager,18,Engineering,Low,Remote,5,10,5,284,0
Consultant,11,Engineering,High,Office,67,1,7,195,0
Executive,29,Engineering,Low,Remote,15,0,4,229,0
Director,22,Sales,Low,Office,86,5,3,116,0
Director,20,Marketing,Medium,Remote,86,10,9,279,1
Executive,4,Sales,Low,Office,28,7,2,175,0
Director,5,Customer Support,High,Remote,40,3,1,170,0
Assistant,6,Marketing,Low,Remote,67,0,8,178,0
Manager,25,Marketing,Low,Remote,61,0,0,101,0
Assistant,9,Marketing,Low,Office,39,5,9,126,0
Director,15,Marketing,High,Remote,61,1,1,253,0
Consultant,7,Engineering,High,Office,23,4,5,252,0
Manager,8,Customer Support,High,Office,5,1,5,239,0
Manager,26,Marketing,Low,Remote,39,8,0,244,0
Executive,3,Marketing,Medium,Office,69,1,7,292,0
Executive,20,Engineering,High,Office,57,4,10,194,0
Consultant,30,Sales,Low,Office,13,3,3,267,0
Manager,20,Sales,High,Office,77,10,6,104,0
Consultant,7,Sales,Medium,Remote,44,0,9,127,0
Executive,24,Customer Support,Low,Office,98,9,8,171,0
Executive,6,Sales,High,Remote,5,8,1,151,0
Manager,14,Marketing,High,Office,22,2,6,241,0
Assistant,20,Engineering,Medium,Office,61,9,0,233,0
Director,2,Engineering,High,Office,83,7,2,117,0
Executive,16,Sales,Low,Office,16,3,3,136,0
Executive,10,Engineering,Low,Office,83,10,2,291,1
Assistant,8,Marketing,Medium,Office,69,8,7,198,0
Assistant,4,Sales,Medium,Office,27,4,10,134,0
Consultant,24,Marketing,Medium,Office,12,1,6,225,0
Consultant,9,Customer Support,Low,Office,28,7,2,116,0
Director,14,Marketing,Medium,Remote,44,3,6,209,0
Director,27,Marketing,High,Remote,19,1,1,187,0
Manager,28,Marketing,High,Office,57,5,10,109,0
Consultant,13,Marketing,Low,Office,80,0,10,150,0
Executive,3,Customer Support,High,Office,53,7,2,211,0
Consultant,20,Sales,Medium,Remote,98,8,6,180,0
Executive,19,Marketing,High,Remote,63,6,9,151,0
Assistant,1,Sales,Medium,Remote,51,8,4,163,0
Consultant,11,Engineering,High,Office,100,1,8,132,0
Assistant,0,Marketing,Low,Office,42,10,7,196,0
Director,23,Marketing,Medium,Remote,86,0,5,116,0
Director,19,Engineering,High,Office,17,6,3,223,0
Manager,4,Sales,Low,Office,99,3,2,276,0
Consultant,5,Customer Support,High,Remote,83,9,5,207,0
Assistant,29,Marketing,Low,Office,53,7,8,226,0
Executive,23,Engineering,High,Remote,59,2,4,106,0
Director,10,Engineering,Medium,Remote,70,6,6,211,0
Director,7,Marketing,Medium,Office,99,6,6,292,1
Executive,6,Sales,Medium,Remote,0,10,6,226,0
Assistant,3,Sales,Medium,Office,36,9,8,289,0
Assistant,5,Marketing,Medium,Remote,48,8,1,109,0
Consultant,15,Engineering,High,Office,34,10,7,130,0
Consultant,19,Marketing,High,Office,66,3,1,124,0
Manager,14,Customer Support,High,Office,34,9,10,284,1
Director,13,Customer Support,High,Office,92,0,0,164,0
Consultant,22,Sales,Medium,Remote,8,6,9,270,0
Assistant,11,Customer Support,Low,Remote,36,9,5,230,0
Executive,28,Engineering,Medium,Office,59,5,1,154,0
Assistant,11,Customer Support,High,Office,55,10,4,147,0
Director,15,Marketing,Medium,Office,88,0,0,164,0
Assistant,14,Engineering,Medium,Remote,11,8,6,298,0
Manager,28,Sales,Medium,Remote,70,9,0,212,0
Director,12,Sales,Low,Office,70,7,7,214,0
Executive,10,Customer Support,Medium,Remote,3,9,4,159,0
Manager,29,Sales,Medium,Office,60,3,4,113,0
Director,16,Marketing,Low,Remote,44,4,2,186,0
Executive,20,Engineering,Medium,Office,94,7,1,180,0
Manager,14,Marketing,Medium,Office,49,1,5,113,0
Manager,13,Marketing,Medium,Office,49,5,3,236,0
Director,9,Marketing,Medium,Remote,73,9,9,184,0
Consultant,11,Marketing,Medium,Office,47,1,3,272,0
Manager,15,Engineering,High,Remote,22,10,5,101,0
Manager,14,Engineering,Medium,Remote,89,7,1,259,0
Executive,9,Marketing,Low,Office,86,4,1,107,0
Assistant,30,Marketing,Medium,Office,92,9,9,135,0
Director,3,Sales,High,Office,7,2,9,264,0
Director,26,Sales,Low,Remote,82,1,3,114,0
Consultant,22,Engineering,Low,Remote,28,3,5,133,0
Consultant,28,Sales,Medium,Remote,42,7,1,248,0
Director,8,Engineering,High,Remote,52,0,6,108,0
Consultant,20,Engineering,Medium,Remote,5,9,10,139,0
Executive,19,Customer Support,High,Remote,92,2,7,125,0
Director,30,Engineering,High,Remote,23,0,8,249,0
Consultant,8,Sales,Medium,Office,73,1,5,240,0
Director,20,Customer Support,High,Office,13,9,1,124,0
Assistant,24,Sales,Medium,Office,51,10,5,298,1
Manager,23,Engineering,High,Remote,69,6,7,214,0
Director,19,Engineering,Low,Office,3,0,9,190,0
Manager,10,Marketing,Medium,Remote,57,8,0,242,0
Consultant,10,Engineering,High,Remote,78,7,10,144,0
Manager,6,Customer Support,Low,Remote,36,0,5,120,0
Director,20,Engineering,Low,Remote,47,9,10,188,0
Assistant,9,Marketing,Low,Office,38,0,0,139,0
Consultant,3,Engineering,Low,Remote,91,1,5,274,0
Director,4,Engineering,Medium,Office,65,1,9,185,0
Consultant,4,Engineering,High,Remote,12,5,3,160,0
Executive,10,Marketing,Low,Office,65,0,2,113,0
Manager,30,Sales,High,Remote,59,3,2,299,1
Executive,8,Engineering,High,Remote,40,6,3,187,0
Director,27,Customer Support,High,Office,31,8,2,166,0
Assistant,15,Marketing,Medium,Office,51,9,8,175,0
Consultant,8,Customer Support,Medium,Office,4,2,3,274,0
Manager,21,Engineering,Low,Remote,66,3,0,243,0
Consultant,29,Marketing,High,Remote,65,4,3,170,0
Director,3,Engineering,Medium,Remote,77,4,0,117,0
Consultant,30,Customer Support,Medium,Office,51,1,9,272,1
Manager,1,Marketing,Medium,Office,48,4,9,122,0
Director,13,Sales,Low,Office,28,9,2,125,0
Consultant,2,Sales,Medium,Remote,37,0,3,293,0
Assistant,17,Sales,High,Remote,69,6,3,229,0
Director,20,Engineering,Medium,Office,97,4,8,249,1
Director,5,Marketing,Medium,Remote,7,5,5,214,0
Assistant,10,Customer Support,Low,Remote,58,8,2,265,0
Executive,20,Customer Support,High,Remote,54,2,6,269,0
Manager,17,Engineering,Medium,Office,1,0,10,255,0
Executive,11,Engineering,High,Office,25,7,3,162,0
Consultant,4,Customer Support,High,Office,62,1,6,116,0
Assistant,8,Marketing,Medium,Remote,16,1,1,211,0
Executive,19,Engineering,Low,Office,58,9,6,286,1
Director,27,Marketing,High,Office,87,3,7,214,0
Consultant,25,Customer Support,Medium,Remote,94,4,6,101,0
Consultant,17,Marketing,High,Remote,15,0,5,198,0
Executive,18,Sales,High,Remote,57,10,3,178,0
Executive,2,Customer Support,High,Remote,63,2,8,207,0
Assistant,8,Sales,Medium,Office,49,10,0,215,0
Manager,3,Customer Support,High,Remote,84,7,4,208,0
Executive,30,Sales,High,Remote,25,5,10,277,1
Executive,16,Marketing,Low,Remote,16,2,0,242,0
Director,16,Customer Support,Medium,Remote,45,6,10,245,0
Consultant,30,Customer Support,Medium,Remote,67,10,9,176,0
Manager,22,Sales,High,Remote,49,5,10,137,0
Director,22,Marketing,Low,Office,42,4,0,235,0
Assistant,1,Customer Support,High,Office,47,7,5,179,0
Assistant,8,Engineering,High,Office,67,7,5,247,0
Executive,8,Sales,Medium,Office,18,2,10,287,0
Executive,4,Customer Support,Low,Remote,24,7,6,125,0
Assistant,14,Marketing,High,Remote,71,9,9,262,1
Executive,14,Marketing,Medium,Remote,17,8,8,220,0
Manager,2,Marketing,High,Office,50,9,5,180,0
Executive,18,Marketing,High,Remote,17,2,1,253,0
Consultant,27,Sales,Low,Remote,57,10,3,117,0
Executive,2,Customer Support,Low,Remote,63,7,8,271,0
Director,5,Sales,Low,Remote,70,7,1,234,0
Manager,3,Sales,High,Office,56,6,6,134,0
Director,23,Marketing,Low,Remote,16,7,3,111,0
Director,30,Engineering,Medium,Remote,58,0,9,220,0
Consultant,12,Marketing,High,Remote,66,2,10,212,0
Manager,26,Engineering,Low,Office,85,5,5,143,0
Manager,12,Sales,High,Remote,14,6,0,140,0
Manager,26,Marketing,High,Remote,94,6,10,153,0
Manager,10,Marketing,Medium,Remote,99,10,7,228,1
Manager,4,Sales,Medium,Remote,25,5,5,124,0
Consultant,0,Marketing,Medium,Remote,47,10,10,179,0
Executive,8,Customer Support,High,Remote,13,3,6,221,0
Director,16,Engineering,High,Remote,80,4,5,114,0
Manager,21,Engineering,Medium,Office,8,8,6,174,0
Executive,0,Engineering,High,Office,6,0,4,200,0
Executive,2,Marketing,Medium,Remote,90,1,2,230,0
Director,14,Customer Support,Medium,Remote,91,4,5,272,1
Consultant,25,Marketing,Low,Office,54,4,9,219,0
Assistant,20,Engineering,Medium,Office,11,6,8,144,0
Assistant,30,Marketing,Low,Office,16,7,5,278,0
Executive,25,Engineering,Medium,Office,72,9,8,269,1
Director,22,Sales,High,Remote,7,5,1,266,0
Assistant,29,Engineering,Low,Remote,90,5,10,119,0
Executive,9,Sales,High,Remote,41,4,0,245,0
Consultant,7,Sales,High,Remote,75,4,3,215,0
Assistant,11,Sales,Medium,Remote,36,10,4,266,0
Executive,24,Engineering,Medium,Office,19,7,9,198,0
Executive,21,Customer Support,High,Office,0,4,6,128,0
Manager,14,Engineering,Medium,Office,8,5,7,119,0
Consultant,26,Marketing,Medium,Office,23,2,0,269,0
Manager,8,Marketing,Medium,Office,33,4,5,178,0
Director,23,Customer Support,High,Remote,35,8,0,195,0
Manager,24,Customer Support,Low,Office,3,2,7,111,0
Manager,9,Customer Support,Low,Office,28,7,0,155,0
Assistant,19,Sales,High,Remote,86,10,3,214,0
Executive,8,Customer Support,Medium,Remote,98,6,2,111,0
Consultant,14,Customer Support,Medium,Remote,15,3,1,152,0
Manager,22,Customer Support,Low,Remote,7,4,7,197,0
Consultant,20,Engineering,High,Remote,90,7,5,107,0
Manager,20,Marketing,High,Office,38,9,3,157,0
Director,0,Marketing,Medium,Remote,57,6,2,123,0
Manager,1,Customer Support,Medium,Remote,11,9,5,208,0
Assistant,25,Marketing,Medium,Office,43,9,5,160,0
Executive,18,Engineering,High,Office,3,1,4,228,0
Director,29,Marketing,Low,Remote,24,7,2,188,0
Manager,13,Sales,High,Remote,69,7,10,177,0
Consultant,7,Engineering,High,Office,66,8,9,169,0
Director,5,Marketing,High,Remote,38,1,8,272,0
Director,11,Marketing,Low,Remote,23,3,5,236,0
Manager,25,Engineering,Medium,Remote,84,1,4,211,0
Director,26,Marketing,Medium,Remote,5,3,10,228,0
Consultant,28,Marketing,High,Remote,96,2,6,300,1
Director,14,Customer Support,High,Office,71,6,0,251,0
Consultant,13,Sales,Low,Office,32,4,6,159,0
Manager,20,Engineering,Low,Remote,47,6,0,275,0
Executive,28,Customer Support,Medium,Remote,66,1,8,266,1
Director,0,Marketing,High,Office,1,3,5,117,0
Executive,27,Engineering,Low,Office,37,5,6,204,0
Consultant,10,Engineering,Low,Office,39,4,6,191,0
Director,27,Sales,High,Remote,55,10,0,151,0
Assistant,24,Sales,High,Office,87,1,1,101,0
Executive,2,Engineering,High,Remote,20,6,9,200,0
Director,18,Sales,High,Remote,81,1,2,263,0
Executive,17,Sales,High,Remote,34,8,7,147,0
Director,19,Marketing,High,Remote,74,6,8,216,0
Manager,27,Sales,Low,Remote,74,2,10,187,0
Executive,1,Sales,High,Office,66,5,7,134,0
Assistant,28,Customer Support,Medium,Office,59,4,5,297,1
Assistant,24,Marketing,High,Office,22,8,1,180,0
Consultant,27,Marketing,Medium,Office,64,2,1,193,0
Director,25,Engineering,Medium,Remote,62,1,9,214,0
Executive,6,Sales,Medium,Office,22,1,6,171,0
Consultant,7,Customer Support,High,Office,85,3,8,269,0
Executive,18,Customer Support,High,Office,41,0,5,179,0
Director,21,Marketing,Medium,Office,93,8,0,137,0
Assistant,14,Sales,High,Office,63,2,8,253,0
Manager,9,Customer Support,Low,Office,65,4,6,130,0
Assistant,21,Engineering,Low,Remote,80,1,2,279,0
Consultant,28,Sales,Low,Remote,40,7,1,287,1
Manager,0,Sales,Low,Office,19,10,2,107,0
Consultant,5,Sales,High,Remote,8,10,1,288,0
Director,12,Customer Support,Medium,Remote,56,2,10,134,0
Manager,13,Marketing,High,Remote,74,4,9,133,0
Consultant,2,Marketing,Low,Remote,16,6,1,237,0
Director,10,Engineering,High,Remote,77,1,3,267,0
Assistant,2,Customer Support,High,Office,81,2,5,207,0
Director,18,Sales,Low,Remote,17,7,2,151,0
Executive,9,Engineering,Medium,Remote,62,9,8,239,0
Director,26,Engineering,High,Office,71,7,4,204,0
Director,14,Marketing,High,Remote,92,2,4,254,0
Executive,10,Sales,Low,Remote,71,9,6,246,0
Consultant,14,Sales,Medium,Office,25,6,8,156,0
Consultant,25,Customer Support,Low,Remote,91,10,0,153,0
Director,26,Customer Support,Low,Office,71,1,8,114,0
Executive,23,Customer Support,High,Remote,83,8,1,209,0
Executive,12,Engineering,Medium,Remote,71,7,2,264,0
Assistant,4,Sales,Low,Office,77,8,4,288,1
Consultant,3,Marketing,High,Remote,12,8,9,245,0
Manager,12,Engineering,Low,Office,16,6,3,143,0
Consultant,8,Engineering,High,Remote,25,3,4,190,0
Consultant,24,Marketing,Medium,Remote,5,4,9,201,0
Assistant,16,Marketing,Low,Remote,80,6,4,227,0
Manager,1,Customer Support,Medium,Remote,3,4,4,183,0
Assistant,23,Marketing,Medium,Office,88,9,9,248,1
Manager,4,Marketing,High,Remote,6,7,9,128,0
Director,15,Marketing,Low,Remote,16,4,9,206,0
Manager,6,Marketing,Low,Office,85,4,4,114,0
Assistant,0,Customer Support,High,Office,91,4,10,185,0
Consultant,27,Engineering,High,Office,49,3,1,186,0
Manager,25,Sales,Medium,Remote,5,10,10,167,0
Manager,11,Sales,Low,Office,29,10,0,187,0
Executive,20,Engineering,Low,Office,73,6,9,163,0
Consultant,10,Sales,High,Office,55,1,10,113,0
Director,11,Sales,High,Office,38,9,7,264,0
Assistant,18,Engineering,High,Remote,13,3,2,153,0
Director,25,Sales,Low,Remote,53,10,6,158,0
Consultant,11,Sales,Low,Remote,21,2,7,227,0
Manager,11,Engineering,Medium,Office,56,9,10,286,1
Manager,13,Sales,High,Office,40,7,5,154,0
Consultant,1,Marketing,Medium,Office,89,6,5,270,0
Manager,1,Engineering,Low,Remote,9,2,10,279,0
Manager,24,Customer Support,Medium,Office,1,3,2,138,0
Manager,28,Sales,Medium,Office,66,3,8,176,0
Assistant,3,Customer Support,Medium,Remote,47,9,2,246,0
Assistant,19,Sales,High,Remote,41,6,4,283,0
Executive,22,Marketing,Low,Remote,10,7,5,263,0
Director,25,Engineering,High,Remote,73,3,0,279,0
Consultant,15,Customer Support,Medium,Remote,11,7,10,143,0
Consultant,9,Engineering,High,Office,13,0,8,145,0
Consultant,12,Customer Support,Low,Office,29,8,6,196,0
Executive,1,Sales,Low,Office,59,6,10,267,0
Assistant,2,Marketing,Medium,Remote,76,3,0,179,0
Executive,18,Customer Support,Medium,Remote,29,7,5,280,0
Consultant,5,Customer Support,High,Remote,37,9,6,284,0
Director,18,Marketing,Low,Remote,74,1,4,246,0
Manager,26,Marketing,Low,Office,64,7,4,143,0
Assistant,20,Marketing,High,Office,90,9,6,193,0
Assistant,19,Marketing,Low,Office,46,5,2,247,0
Executive,18,Marketing,Medium,Office,38,6,2,143,0
Assistant,7,Engineering,Medium,Office,48,6,0,270,0
Consultant,13,Sales,High,Office,100,1,7,210,0
Consultant,9,Sales,High,Office,72,10,1,106,0
Executive,2,Customer Support,High,Office,57,1,2,141,0
Consultant,5,Marketing,Medium,Remote,89,3,6,161,0
Director,28,Engineering,High,Office,88,5,9,101,0
Executive,14,Engineering,Low,Office,16,3,9,176,0
Director,22,Customer Support,High,Remote,5,5,10,145,0
Manager,22,Marketing,Low,Remote,14,4,7,137,0
Director,17,Sales,Medium,Office,66,5,8,194,0
Manager,13,Marketing,Low,Office,94,8,7,228,0
Manager,18,Engineering,Low,Remote,27,5,6,274,0
Director,27,Marketing,Low,Remote,72,5,9,206,0
Executive,25,Sales,Medium,Remote,43,10,0,240,0
Consultant,9,Sales,Low,Office,17,10,0,159,0
Consultant,14,Customer Support,Low,Remote,31,7,10,291,1
Manager,3,Engineering,High,Office,82,4,7,295,1
Manager,22,Marketing,High,Remote,68,4,6,154,0
Executive,1,Marketing,High,Office,43,9,1,206,0
Assistant,2,Customer Support,Low,Remote,69,10,8,130,0
Director,6,Customer Support,Low,Office,62,0,9,196,0
Manager,22,Customer Support,Medium,Remote,75,5,6,241,0
Consultant,15,Engineering,Low,Remote,57,0,8,185,0
Executive,30,Marketing,Low,Office,46,10,10,232,1
Director,9,Customer Support,Medium,Office,16,7,0,218,0
Executive,18,Engineering,Low,Office,38,9,10,281,1
Director,27,Marketing,Medium,Remote,58,8,2,280,1
Director,16,Sales,Medium,Remote,6,5,9,264,0
Manager,27,Customer Support,High,Remote,62,8,1,195,0
Executive,18,Engineering,Low,Remote,56,1,5,284,0
Executive,4,Marketing,High,Remote,74,8,9,102,0
Consultant,22,Marketing,Low,Office,33,3,3,238,0
Consultant,19,Customer Support,High,Office,52,2,1,141,0
Manager,12,Customer Support,Medium,Remote,65,0,1,282,0
Manager,12,Marketing,Medium,Remote,77,0,5,265,0
Assistant,10,Engineering,Medium,Office,81,7,8,251,0
Consultant,10,Sales,Medium,Remote,47,1,5,236,0
Director,15,Marketing,Low,Office,59,0,3,240,0
Executive,14,Engineering,Low,Office,42,1,8,185,0
Manager,16,Customer Support,High,Office,72,2,1,245,0
Executive,21,Marketing,Low,Office,3,3,5,109,0
Executive,17,Customer Support,Low,Office,77,10,6,239,1
Assistant,27,Sales,High,Remote,74,8,2,146,0
Consultant,18,Customer Support,Medium,Office,93,6,3,182,0
Manager,3,Sales,High,Remote,90,4,6,216,0
Executive,21,Customer Support,High,Office,92,4,8,109,0
Manager,21,Customer Support,Medium,Remote,51,5,4,228,0
Director,22,Sales,High,Office,31,0,10,284,0
Assistant,4,Customer Support,High,Remote,93,5,1,170,0
Director,6,Engineering,High,Remote,89,10,7,218,0
Manager,1,Customer Support,Low,Office,93,5,8,218,0
Manager,0,Marketing,Medium,Office,50,10,10,238,0
Consultant,11,Customer Support,Medium,Office,9,4,10,280,0
Executive,9,Engineering,High,Remote,11,9,1,226,0
Executive,7,Marketing,Low,Office,96,8,9,103,0
Director,0,Engineering,Medium,Office,97,9,9,288,1
Assistant,11,Marketing,Medium,Remote,81,9,0,185,0
Executive,1,Customer Support,High,Office,38,4,3,109,0
Consultant,26,Engineering,High,Office,79,8,0,232,0
Director,27,Customer Support,High,Remote,67,9,0,288,1
Director,9,Marketing,Medium,Office,9,6,4,223,0
Consultant,21,Engineering,High,Remote,91,2,6,175,0
Assistant,16,Sales,High,Office,81,10,2,257,0
Consultant,25,Engineering,High,Remote,72,8,6,156,0
Assistant,2,Customer Support,Low,Remote,85,9,4,260,0
Consultant,6,Sales,High,Office,9,6,9,264,0
Consultant,11,Sales,Medium,Remote,22,3,10,181,0
Manager,7,Marketing,High,Office,76,8,7,295,1
Director,19,Sales,Medium,Remote,87,5,6,122,0
Consultant,11,Sales,Low,Remote,12,8,0,169,0
Consultant,2,Marketing,Low,Office,47,3,0,106,0
Executive,16,Engineering,High,Office,88,9,6,118,0
Director,27,Customer Support,Medium,Office,43,1,5,242,0
Executive,8,Engineering,High,Remote,92,8,8,216,0
Director,9,Sales,High,Office,79,9,7,185,0
Executive,21,Customer Support,Medium,Remote,63,3,5,259,0
Consultant,5,Engineering,Medium,Remote,39,10,5,178,0
Consultant,24,Customer Support,Medium,Office,5,1,8,158,0
Manager,0,Sales,Medium,Remote,71,6,3,169,0
Executive,21,Engineering,Medium,Office,97,6,8,297,1
Assistant,11,Customer Support,Low,Remote,81,4,10,105,0
Manager,4,Customer Support,Low,Office,42,4,10,175,0
Executive,12,Engineering,Low,Remote,31,7,7,293,0
Executive,26,Engineering,Medium,Remote,48,5,2,231,0
Manager,14,Sales,Medium,Office,73,0,10,218,0
Consultant,21,Marketing,Medium,Remote,97,10,3,169,0
Executive,29,Customer Support,High,Remote,86,3,6,284,1
Consultant,10,Engineering,Low,Remote,18,0,2,288,0
Manager,7,Engineering,Low,Remote,83,4,2,214,0
Consultant,4,Engineering,High,Remote,51,4,7,283,0
Director,1,Customer Support,High,Office,51,3,4,200,0
Assistant,11,Sales,Low,Office,33,8,4,241,0
Executive,27,Marketing,Medium,Remote,58,7,7,210,0
Assistant,1,Customer Support,Low,Office,80,9,5,182,0
Consultant,25,Sales,Medium,Office,4,2,4,106,0
Executive,15,Customer Support,Low,Remote,65,4,0,281,0
Consultant,20,Customer Support,Low,Office,40,5,4,285,0
Director,2,Engineering,High,Remote,33,4,7,160,0
Manager,9,Sales,High,Office,53,7,8,207,0
Executive,18,Engineering,Medium,Remote,19,4,5,171,0
Director,7,Engineering,Medium,Remote,53,7,10,255,0
Director,6,Sales,Low,Remote,65,9,9,282,1
Executive,0,Engineering,High,Remote,91,9,2,198,0
Consultant,11,Engineering,Medium,Office,17,2,7,152,0
Director,28,Marketing,Medium,Office,43,4,4,182,0
Assistant,27,Sales,Medium,Remote,47,3,1,271,0
Director,4,Sales,Low,Office,34,10,0,127,0
Consultant,15,Engineering,Medium,Remote,78,5,10,145,0
Consultant,24,Engineering,Medium,Remote,38,2,7,276,0
Assistant,3,Sales,High,Office,2,9,1,222,0
Director,16,Sales,High,Remote,18,3,10,294,0
Consultant,23,Customer Support,High,Remote,86,10,2,254,1
Executive,20,Sales,Low,Office,82,3,8,266,1
Manager,1,Customer Support,High,Remote,17,4,0,183,0
Manager,30,Engineering,High,Remote,93,10,7,126,0
Manager,11,Marketing,High,Office,82,5,1,134,0
Director,0,Marketing,High,Office,4,1,7,146,0
Assistant,29,Customer Support,Medium,Remote,54,9,1,151,0
Consultant,11,Engineering,Low,Office,12,7,6,168,0
Executive,11,Engineering,Medium,Office,33,3,2,293,0
Executive,11,Engineering,Medium,Office,87,6,3,140,0
Director,18,Sales,Low,Office,17,6,10,149,0
Manager,24,Engineering,Medium,Office,67,9,0,144,0
Director,16,Sales,High,Office,99,10,9,119,0
Assistant,19,Customer Support,Low,Remote,71,10,0,219,0
Assistant,23,Marketing,Medium,Remote,42,1,10,298,1
Consultant,23,Customer Support,Medium,Office,64,6,9,135,0
Consultant,25,Engineering,High,Office,40,0,10,299,1
Assistant,27,Engineering,Medium,Office,37,1,7,190,0
Assistant,10,Customer Support,Medium,Remote,99,4,7,169,0
Assistant,12,Sales,Medium,Remote,37,7,1,251,0
Director,26,Sales,Low,Remote,12,6,3,263,0
Assistant,7,Sales,Low,Remote,21,2,1,232,0
Executive,9,Marketing,Medium,Office,28,9,7,247,0
Manager,7,Marketing,Medium,Office,8,8,6,280,0
Assistant,19,Engineering,High,Office,90,4,6,204,0
Manager,7,Customer Support,Low,Office,67,2,9,267,0
Director,8,Customer Support,Low,Office,16,6,2,197,0
Manager,6,Engineering,Low,Remote,36,3,10,202,0
Director,13,Sales,Medium,Office,63,0,4,223,0
Executive,27,Marketing,High,Remote,66,4,0,277,0
Director,1,Customer Support,High,Office,3,10,9,173,0
Director,24,Engineering,Medium,Office,39,7,10,294,1
